epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.746,2.3061,4.64504,1.61484,0.11371,0.55059,0.07616,0.02837,2.00356,8.78139,1.52726,0.00043342,0.00043342,0.00043342
2,24.4094,1.95249,1.63973,1.41517,0.43714,0.65752,0.42652,0.16684,1.93713,2.94226,1.55373,0.000861643,0.000861643,0.000861643
3,32.793,1.92991,1.51609,1.41705,0.15844,0.3927,0.13649,0.05842,2.10967,3.34964,1.65319,0.00126759,0.00126759,0.00126759
4,41.075,1.88459,1.40882,1.36186,0.35153,0.59282,0.42548,0.16964,2.01913,1.86092,1.68864,0.00154323,0.00154323,0.00154323
5,49.156,1.87138,1.30692,1.39045,0.30639,0.66698,0.31524,0.13011,1.98734,8.06931,1.62547,0.00150197,0.00150197,0.00150197
6,57.1238,1.84377,1.23533,1.39187,0.65421,0.68567,0.66497,0.30411,1.80201,1.83607,1.54417,0.00146071,0.00146071,0.00146071
7,65.1605,1.80069,1.24942,1.37664,0.68742,0.70384,0.72558,0.31806,1.9581,1.19992,1.60821,0.00141945,0.00141945,0.00141945
8,73.1906,1.75384,1.11354,1.32012,0.71852,0.75644,0.75337,0.32249,1.79098,1.14563,1.50153,0.00137819,0.00137819,0.00137819
9,81.1584,1.7518,1.09059,1.30612,0.6166,0.71534,0.64025,0.27262,1.93277,1.45867,1.57858,0.00133693,0.00133693,0.00133693
10,88.9498,1.72336,1.0826,1.33092,0.66929,0.75056,0.73361,0.31797,1.843,1.40156,1.5191,0.00129568,0.00129568,0.00129568
11,96.7535,1.70708,1.07891,1.31348,0.64643,0.76639,0.75604,0.34132,1.86626,1.14826,1.52171,0.00125442,0.00125442,0.00125442
12,104.689,1.67893,1.05278,1.28978,0.79142,0.73337,0.80787,0.38759,1.82024,1.04789,1.50325,0.00121316,0.00121316,0.00121316
13,112.663,1.64156,0.97501,1.27277,0.80626,0.66708,0.77081,0.31791,1.88076,1.1659,1.53223,0.0011719,0.0011719,0.0011719
14,120.515,1.65544,0.9762,1.28325,0.83168,0.73369,0.81877,0.37014,1.95154,1.05099,1.55887,0.00113064,0.00113064,0.00113064
15,128.312,1.59605,0.94661,1.24803,0.77702,0.78159,0.79881,0.37651,1.79043,1.04979,1.44783,0.00108938,0.00108938,0.00108938
16,136.111,1.5947,0.90647,1.22742,0.78576,0.75204,0.81789,0.39881,1.78515,1.01142,1.48005,0.00104813,0.00104813,0.00104813
17,143.991,1.55177,0.92132,1.23149,0.75977,0.83744,0.82582,0.38356,1.79429,1.01462,1.46122,0.00100687,0.00100687,0.00100687
18,151.825,1.51904,0.89169,1.19467,0.73468,0.79782,0.80131,0.39403,1.79184,1.04708,1.49816,0.00096561,0.00096561,0.00096561
19,159.628,1.47037,0.85786,1.18703,0.7673,0.81727,0.80712,0.38902,1.80957,1.01225,1.46054,0.000924352,0.000924352,0.000924352
20,167.44,1.44521,0.82022,1.17374,0.79788,0.74753,0.82617,0.40187,1.80543,0.97871,1.49042,0.000883093,0.000883093,0.000883093
21,175.366,1.42791,0.80585,1.18534,0.79687,0.83831,0.83597,0.38529,1.85736,1.04499,1.5324,0.000841835,0.000841835,0.000841835
22,183.42,1.39688,0.77554,1.14897,0.73346,0.90234,0.83524,0.38808,1.81958,1.02163,1.50474,0.000800577,0.000800577,0.000800577
23,191.577,1.37849,0.75677,1.15566,0.81277,0.76559,0.83429,0.38599,1.82437,1.00757,1.48107,0.000759318,0.000759318,0.000759318
24,199.542,1.38826,0.76528,1.14032,0.82314,0.83172,0.8639,0.40285,1.82049,0.93426,1.51535,0.00071806,0.00071806,0.00071806
25,207.502,1.35566,0.74191,1.12402,0.86602,0.81216,0.84192,0.42088,1.73597,0.98306,1.45125,0.000676802,0.000676802,0.000676802
26,215.562,1.32297,0.70917,1.11638,0.78158,0.80312,0.81059,0.40114,1.85946,1.04654,1.52413,0.000635544,0.000635544,0.000635544
27,223.438,1.2788,0.70581,1.10115,0.82564,0.79948,0.84269,0.40265,1.86154,1.05819,1.53944,0.000594286,0.000594286,0.000594286
28,231.233,1.24648,0.69008,1.09035,0.80003,0.80838,0.85593,0.41979,1.81319,0.96371,1.49101,0.000553027,0.000553027,0.000553027
29,239.031,1.24916,0.68373,1.08281,0.80055,0.89747,0.87142,0.41612,1.78134,0.96387,1.49951,0.000511769,0.000511769,0.000511769
30,246.811,1.22217,0.6609,1.08719,0.75738,0.84785,0.82694,0.40591,1.79215,0.98512,1.51665,0.000470511,0.000470511,0.000470511
31,271.389,1.19421,0.62419,1.12596,0.80117,0.79855,0.83763,0.42387,1.73936,0.95697,1.47343,0.000429253,0.000429253,0.000429253
32,279.286,1.15817,0.60276,1.10237,0.81692,0.82042,0.82111,0.39266,1.85448,0.99799,1.56379,0.000387994,0.000387994,0.000387994
33,287.127,1.15661,0.60501,1.09999,0.83212,0.82952,0.84681,0.41127,1.75574,0.94811,1.50195,0.000346736,0.000346736,0.000346736
34,294.93,1.11262,0.58422,1.0749,0.81815,0.82656,0.86609,0.42007,1.75009,0.93452,1.4972,0.000305478,0.000305478,0.000305478
35,302.734,1.09471,0.57299,1.07372,0.81424,0.82672,0.85997,0.42401,1.74007,0.97577,1.4826,0.00026422,0.00026422,0.00026422
36,310.647,1.06071,0.55893,1.06615,0.78054,0.82061,0.82964,0.41524,1.77995,0.95332,1.535,0.000222961,0.000222961,0.000222961
37,318.463,1.02775,0.53604,1.04435,0.80446,0.79639,0.82487,0.42121,1.78029,0.99458,1.53121,0.000181703,0.000181703,0.000181703
38,326.248,1.01815,0.53944,1.04436,0.82019,0.83377,0.83712,0.42211,1.76307,0.97436,1.51908,0.000140445,0.000140445,0.000140445
39,334.117,1.00613,0.52883,1.0335,0.81556,0.83806,0.83781,0.42549,1.74733,0.95188,1.5079,9.91865e-05,9.91865e-05,9.91865e-05
40,342.033,0.97872,0.52092,1.01619,0.82554,0.83211,0.85241,0.43215,1.72959,0.95781,1.52725,5.79283e-05,5.79283e-05,5.79283e-05
