epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4047,2.64619,3.86097,1.49889,0.43797,0.45885,0.31278,0.08134,2.49711,3.23124,1.45934,0.000548633,0.000548633,0.000548633
2,28.3411,2.35747,1.8329,1.35796,0.34506,0.43359,0.29641,0.09053,2.54866,1.84688,1.49944,0.00109337,0.00109337,0.00109337
3,39.4195,2.36345,1.65437,1.34944,0.35969,0.46388,0.2991,0.08433,2.48516,1.77883,1.49699,0.0016271,0.0016271,0.0016271
4,48.85,2.38556,1.74981,1.34056,0.26657,0.42355,0.23979,0.06082,2.49227,1.90605,1.48683,0.00161749,0.00161749,0.00161749
5,58.2279,2.36822,1.62954,1.35809,0.38668,0.52541,0.39017,0.11711,2.4184,1.65737,1.44337,0.00160099,0.00160099,0.00160099
6,67.6301,2.28921,1.56549,1.31001,0.41718,0.44695,0.37819,0.10275,2.46924,1.68225,1.48033,0.00158448,0.00158448,0.00158448
7,77.0636,2.27715,1.50811,1.33943,0.47938,0.50649,0.38925,0.12652,2.41802,1.67338,1.46368,0.00156798,0.00156798,0.00156798
8,86.4587,2.26234,1.49815,1.28958,0.50717,0.44884,0.42264,0.13063,2.48623,1.6008,1.48758,0.00155148,0.00155148,0.00155148
9,95.8518,2.27373,1.45466,1.29765,0.44905,0.51045,0.44121,0.1409,2.42839,1.59729,1.44299,0.00153497,0.00153497,0.00153497
10,105.228,2.23418,1.43612,1.32322,0.46029,0.44034,0.3789,0.118,2.49236,1.66772,1.48051,0.00151847,0.00151847,0.00151847
11,114.579,2.21836,1.43874,1.28569,0.60279,0.47231,0.45595,0.13903,2.36711,1.59705,1.42549,0.00150197,0.00150197,0.00150197
12,123.946,2.18103,1.40891,1.26734,0.48249,0.60065,0.4757,0.14924,2.36933,1.48141,1.43192,0.00148546,0.00148546,0.00148546
13,133.545,2.22184,1.43156,1.28194,0.46822,0.47768,0.39031,0.12293,2.40818,1.57764,1.43597,0.00146896,0.00146896,0.00146896
14,143.182,2.16598,1.34422,1.27856,0.61643,0.59251,0.52652,0.15977,2.31394,1.51109,1.40099,0.00145246,0.00145246,0.00145246
15,152.751,2.13719,1.39298,1.27263,0.54408,0.49984,0.47345,0.15829,2.36475,1.52685,1.4217,0.00143595,0.00143595,0.00143595
16,162.274,2.14787,1.33876,1.24342,0.5862,0.53162,0.50346,0.15162,2.33726,1.52982,1.40838,0.00141945,0.00141945,0.00141945
17,171.597,2.16056,1.37087,1.26329,0.58683,0.51691,0.51029,0.17331,2.30241,1.50067,1.3927,0.00140295,0.00140295,0.00140295
18,180.982,2.16459,1.33114,1.2822,0.48995,0.55463,0.47937,0.15717,2.32996,1.50893,1.40051,0.00138644,0.00138644,0.00138644
19,190.621,2.09856,1.30354,1.23824,0.632,0.48782,0.48869,0.16331,2.34345,1.50535,1.41528,0.00136994,0.00136994,0.00136994
20,200.099,2.12931,1.31706,1.26241,0.5389,0.52131,0.49657,0.16306,2.36291,1.51499,1.41263,0.00135344,0.00135344,0.00135344
