epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1335,2.33455,5.09059,1.62178,0.28755,0.14257,0.21225,0.10131,1.81924,3.02797,1.41435,0.00035007,0.00035007,0.00035007
2,22.3056,1.95406,1.75854,1.40521,0.1698,0.64214,0.147,0.05479,1.96984,7.45468,1.41432,0.000707939,0.000707939,0.000707939
3,30.0033,1.94359,1.44597,1.38283,0.71012,0.49216,0.54499,0.22586,2.14088,1.88783,1.55147,0.00105673,0.00105673,0.00105673
4,37.8115,1.86913,1.39172,1.35017,0.45125,0.63453,0.54792,0.21374,2.13047,1.66412,1.59235,0.00139645,0.00139645,0.00139645
5,45.4157,1.86955,1.38918,1.34456,0.61826,0.69465,0.66779,0.2707,1.98809,1.31259,1.55882,0.00158448,0.00158448,0.00158448
6,53.1061,1.87153,1.23875,1.35726,0.66328,0.62729,0.68941,0.2991,1.85245,1.27058,1.42457,0.00156385,0.00156385,0.00156385
7,60.8181,1.81558,1.16732,1.35664,0.02482,0.59697,0.01821,0.00765,2.00482,inf,1.44436,0.00154323,0.00154323,0.00154323
8,68.4306,1.7855,1.14609,1.3389,0.69329,0.73647,0.69229,0.31864,1.85075,1.31725,1.44231,0.0015226,0.0015226,0.0015226
9,76.0873,1.73564,1.07777,1.30246,0.60538,0.75908,0.68151,0.28822,1.83267,1.12296,1.42655,0.00150197,0.00150197,0.00150197
10,83.6543,1.68323,1.06947,1.3284,0.73448,0.78219,0.81336,0.36232,1.86604,1.10695,1.45,0.00148134,0.00148134,0.00148134
11,91.2635,1.69552,1.02673,1.28014,0.66756,0.78021,0.76431,0.32386,1.88961,1.04159,1.44749,0.00146071,0.00146071,0.00146071
12,98.8565,1.68526,1.03985,1.2884,0.73262,0.73703,0.81982,0.36271,1.87505,1.06377,1.44644,0.00144008,0.00144008,0.00144008
13,106.488,1.66407,1.03976,1.28323,0.70022,0.82496,0.82691,0.37297,1.84435,1.05237,1.42233,0.00141945,0.00141945,0.00141945
14,114.1,1.68275,1.03228,1.27349,0.62603,0.77327,0.77565,0.35642,1.82443,1.07764,1.39033,0.00139882,0.00139882,0.00139882
