epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2494,3.66461,7.46681,1.98972,0,0,0,0,3.32458,6.25193,1.9764,2.856e-05,2.856e-05,2.856e-05
2,174.904,3.40589,6.81019,1.82846,0,0,0,0,3.15596,6.01794,1.80146,6.21394e-05,6.21394e-05,6.21394e-05
3,265.55,3.1034,6.1852,1.57983,0,0,0,0,2.86778,5.65579,1.50963,9.33626e-05,9.33626e-05,9.33626e-05
4,353.045,2.85076,5.09001,1.44916,0,0,0,0,2.63857,5.32288,1.38211,0.00012223,0.00012223,0.00012223
5,441.502,2.81578,4.52186,1.37667,0.00183,0.02629,0.00094,0.00022,2.58481,5.03392,1.31938,0.00014874,0.00014874,0.00014874
6,530.908,2.73142,3.60486,1.40057,0.00372,0.05006,0.00193,0.00038,2.58803,4.83484,1.31771,0.000172895,0.000172895,0.000172895
7,622.135,2.63567,3.28029,1.30379,0.04022,0.19861,0.06391,0.01543,2.48104,4.57926,1.31456,0.000194694,0.000194694,0.000194694
8,714.161,2.55956,3.18354,1.33645,0.05171,0.34302,0.13766,0.03137,2.54345,4.42488,1.37574,0.000214136,0.000214136,0.000214136
9,804.899,2.48223,3.09272,1.2931,0.05337,0.38748,0.15685,0.0379,2.48099,4.40249,1.34187,0.000231222,0.000231222,0.000231222
10,886.5,2.57362,3.14515,1.28089,0.04858,0.38539,0.14891,0.03555,2.58291,4.36529,1.38452,0.000245952,0.000245952,0.000245952
11,964.146,2.44393,3.01965,1.27424,0.04488,0.37719,0.11723,0.02854,2.67739,4.40684,1.44816,0.000258325,0.000258325,0.000258325
12,1040,2.43897,2.8272,1.29619,0.05995,0.49211,0.18305,0.04913,2.50614,4.29098,1.36361,0.000268343,0.000268343,0.000268343
13,1126.31,2.45537,2.74878,1.25907,0.0625,0.48162,0.17274,0.04527,2.545,4.33764,1.37614,0.000276004,0.000276004,0.000276004
14,1213.93,2.48976,2.87026,1.24773,0.07617,0.46194,0.20636,0.05705,2.4847,4.39423,1.34422,0.000281309,0.000281309,0.000281309
15,1296.99,2.48033,2.86278,1.2518,0.0758,0.57564,0.24731,0.06688,2.48875,4.21205,1.34372,0.000284258,0.000284258,0.000284258
16,1379.14,2.38247,2.8398,1.2468,0.05918,0.68174,0.27201,0.07499,2.50597,3.89731,1.36499,0.00028485,0.00028485,0.00028485
17,1461.24,2.34201,2.70873,1.27498,0.05459,0.6673,0.25922,0.0732,2.54276,3.86027,1.38225,0.000283087,0.000283087,0.000283087
18,1543.76,2.48259,2.65466,1.2595,0.05374,0.67851,0.264,0.07448,2.44719,3.83185,1.33296,0.000278967,0.000278967,0.000278967
19,1625.26,2.38302,2.48178,1.24114,0.04547,0.67528,0.26117,0.07315,2.49911,3.65447,1.36262,0.000272491,0.000272491,0.000272491
20,1702.39,2.39901,2.5251,1.25112,0.04153,0.76635,0.28883,0.07922,2.46626,3.49767,1.32486,0.000263659,0.000263659,0.000263659
21,1774.58,2.36348,3.04002,1.30271,0.04159,0.76628,0.24693,0.06585,2.50824,3.59776,1.33885,0.00024276,0.00024276,0.00024276
22,1845.29,2.38284,2.95826,1.31484,0.04102,0.70435,0.16284,0.04299,2.65566,3.74478,1.43507,0.000219198,0.000219198,0.000219198
23,1916.09,2.31167,2.84416,1.27777,0.0518,0.78229,0.29611,0.08354,2.45018,3.60234,1.32447,0.000195636,0.000195636,0.000195636
24,1988.34,2.29638,2.73341,1.25375,0.28781,0.43393,0.2998,0.0862,2.46218,3.18523,1.34544,0.000172074,0.000172074,0.000172074
25,2076.27,2.24498,2.70971,1.27956,0.52232,0.2007,0.25976,0.07089,2.58221,3.00807,1.41614,0.000148512,0.000148512,0.000148512
26,2150.66,2.27988,2.44991,1.31493,0.44828,0.18454,0.21928,0.05957,2.61094,3.00582,1.43497,0.00012495,0.00012495,0.00012495
27,2226.48,2.28033,2.59093,1.27125,0.43951,0.26657,0.27489,0.07529,2.49498,3.05632,1.36673,0.000101388,0.000101388,0.000101388
28,2300.71,2.21205,2.61938,1.25778,0.46287,0.3005,0.31176,0.08265,2.47183,3.1295,1.34935,7.7826e-05,7.7826e-05,7.7826e-05
29,2377.86,2.2092,2.48074,1.23304,0.5725,0.20254,0.31143,0.08554,2.47024,3.05899,1.35036,5.4264e-05,5.4264e-05,5.4264e-05
30,2453.39,2.19021,2.48843,1.2559,0.48821,0.26308,0.30381,0.08554,2.47712,2.89428,1.35831,3.0702e-05,3.0702e-05,3.0702e-05
