epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91262,3.38122,5.48058,1.9404,0,0,0,0,2.95717,4.29291,1.62512,0.00013336,0.00013336,0.00013336
2,9.51952,2.8745,3.8686,1.4524,0.00016,0.012,0,0,2.55464,3.86573,1.33094,0.000269362,0.000269362,0.000269362
3,11.749,2.73157,3.07503,1.35331,0.00112,0.1453,0.00019,4e-05,2.50889,3.76779,1.3327,0.000390511,0.000390511,0.000390511
4,13.963,2.72689,2.74389,1.4004,0.00116,0.13108,0.00018,3e-05,2.49347,3.4805,1.39607,0.000496808,0.000496808,0.000496808
5,16.1766,2.52813,2.72332,1.35205,0.00289,0.1602,0.02472,0.00568,2.56702,3.38251,1.40067,0.000588251,0.000588251,0.000588251
6,18.3644,2.54084,2.49227,1.34377,0.0047,0.26357,0.05878,0.01444,2.40637,3.26196,1.34766,0.000664841,0.000664841,0.000664841
7,20.5809,2.50717,2.381,1.32723,0.00636,0.37592,0.12867,0.03014,2.61996,3.16322,1.42645,0.000726579,0.000726579,0.000726579
8,22.7588,2.51743,2.47436,1.34878,0.00793,0.54363,0.10824,0.02678,2.42223,3.04242,1.35321,0.000773463,0.000773463,0.000773463
9,24.9198,2.5115,2.22102,1.35005,0.00939,0.70042,0.18255,0.04755,2.42344,2.77001,1.34419,0.000805494,0.000805494,0.000805494
10,27.325,2.45197,2.29779,1.29511,0.00942,0.72499,0.24048,0.06623,2.45069,2.75407,1.34534,0.000822673,0.000822673,0.000822673
11,44.9449,2.42816,2.33827,1.35397,0.00873,0.69955,0.26239,0.06944,2.65512,2.72617,1.44247,0.000824998,0.000824998,0.000824998
12,47.1598,2.44239,2.21443,1.37212,0.52744,0.17018,0.26625,0.07251,2.444,2.57797,1.32935,0.000759318,0.000759318,0.000759318
13,49.3094,2.38312,2.27063,1.33496,0.51646,0.26859,0.25709,0.07294,2.42517,2.34493,1.3433,0.000676802,0.000676802,0.000676802
14,51.4444,2.33604,2.08823,1.32463,0.59604,0.31386,0.31267,0.09513,2.45595,2.15008,1.37558,0.000594286,0.000594286,0.000594286
15,53.5511,2.37242,2.03113,1.37398,0.53828,0.4019,0.38664,0.11567,2.44096,2.01458,1.37665,0.000511769,0.000511769,0.000511769
16,55.6873,2.35931,2.00641,1.36298,0.49326,0.46461,0.37479,0.11478,2.45135,1.95719,1.37395,0.000429253,0.000429253,0.000429253
17,57.7667,2.29476,1.98707,1.34968,0.45219,0.46131,0.36049,0.11043,2.48391,1.9391,1.3858,0.000346736,0.000346736,0.000346736
18,59.8473,2.31454,2.0268,1.31341,0.41626,0.4484,0.34549,0.1071,2.53303,1.95123,1.4076,0.00026422,0.00026422,0.00026422
19,61.9248,2.3057,1.94897,1.30528,0.45247,0.44774,0.36142,0.11162,2.50909,1.92654,1.39431,0.000181703,0.000181703,0.000181703
20,64.186,2.26685,1.97525,1.30107,0.47722,0.47144,0.38882,0.11828,2.47905,1.87318,1.37941,9.91865e-05,9.91865e-05,9.91865e-05
